GAME_ID,PLAYER_ID,START_POSITION,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_NAME,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
21900869,1629640,,1610612759,SAS,San Antonio,Keldon Johnson,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21900869,1629677,,1610612759,SAS,San Antonio,Luka Samanic,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21900846,201942,F,1610612759,SAS,San Antonio,DeMar DeRozan,,23:28,4.0,12.0,0.33299999999999996,0.0,0.0,0.0,3.0,4.0,0.75,1.0,4.0,5.0,3.0,0.0,0.0,2.0,2.0,11.0,-21.0
21900846,200746,F,1610612759,SAS,San Antonio,LaMarcus Aldridge,,20:59,3.0,10.0,0.3,0.0,5.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,3.0,8.0,-28.0
21900846,1626168,C,1610612759,SAS,San Antonio,Trey Lyles,,18:00,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,8.0,-24.0
21900846,1627749,G,1610612759,SAS,San Antonio,Dejounte Murray,,20:49,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,1.0,0.0,2.0,3.0,0.0,-10.0
21900846,1627854,G,1610612759,SAS,San Antonio,Bryn Forbes,,20:35,3.0,5.0,0.6,2.0,4.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,10.0,-23.0
21900846,1628401,,1610612759,SAS,San Antonio,Derrick White,,27:11,1.0,6.0,0.16699999999999998,1.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,-18.0
21900846,200752,,1610612759,SAS,San Antonio,Rudy Gay,,17:42,4.0,11.0,0.364,1.0,5.0,0.2,5.0,5.0,1.0,4.0,2.0,6.0,2.0,1.0,0.0,0.0,2.0,14.0,3.0
21900846,201988,,1610612759,SAS,San Antonio,Patty Mills,,15:25,2.0,10.0,0.2,2.0,9.0,0.222,2.0,2.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,3.0,8.0,-2.0
21900846,1627751,,1610612759,SAS,San Antonio,Jakob Poeltl,,15:32,4.0,7.0,0.5710000000000001,0.0,0.0,0.0,1.0,2.0,0.5,4.0,0.0,4.0,1.0,2.0,0.0,0.0,2.0,9.0,0.0
21900846,1629022,,1610612759,SAS,San Antonio,Lonnie Walker IV,,23:26,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,1.0,0.0,1.0,2.0,-5.0
21900846,201158,,1610612759,SAS,San Antonio,Marco Belinelli,,15:22,5.0,10.0,0.5,3.0,7.0,0.429,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,13.0,-7.0
21900846,1629640,,1610612759,SAS,San Antonio,Keldon Johnson,,13:06,4.0,10.0,0.4,0.0,1.0,0.0,1.0,2.0,0.5,2.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,9.0,-5.0
21900846,1629002,,1610612759,SAS,San Antonio,Chimezie Metu,,8:25,4.0,6.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,8.0,0.0
21900832,201942,F,1610612759,SAS,San Antonio,DeMar DeRozan,,35:31,8.0,17.0,0.47100000000000003,0.0,0.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,7.0,0.0,1.0,3.0,1.0,18.0,10.0
21900832,200746,F,1610612759,SAS,San Antonio,LaMarcus Aldridge,,34:43,6.0,17.0,0.353,1.0,3.0,0.33299999999999996,2.0,3.0,0.667,3.0,5.0,8.0,4.0,1.0,1.0,0.0,4.0,15.0,6.0
21900832,1626168,C,1610612759,SAS,San Antonio,Trey Lyles,,29:09,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,1.0,3.0,7.0,23.0
21900832,1627749,G,1610612759,SAS,San Antonio,Dejounte Murray,,34:26,10.0,16.0,0.625,1.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,7.0,4.0,4.0,0.0,1.0,1.0,23.0,15.0
21900832,1627854,G,1610612759,SAS,San Antonio,Bryn Forbes,,25:26,4.0,7.0,0.5710000000000001,4.0,6.0,0.667,1.0,2.0,0.5,0.0,5.0,5.0,1.0,2.0,0.0,0.0,2.0,13.0,20.0
21900832,1627751,,1610612759,SAS,San Antonio,Jakob Poeltl,,13:17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
21900832,1628401,,1610612759,SAS,San Antonio,Derrick White,,19:35,3.0,6.0,0.5,1.0,2.0,0.5,7.0,8.0,0.875,1.0,2.0,3.0,2.0,2.0,1.0,0.0,2.0,14.0,-9.0
21900832,1629022,,1610612759,SAS,San Antonio,Lonnie Walker IV,,12:29,1.0,3.0,0.33299999999999996,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,-1.0
21900832,201988,,1610612759,SAS,San Antonio,Patty Mills,,20:18,3.0,11.0,0.273,2.0,6.0,0.33299999999999996,7.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,15.0,-11.0
21900832,200752,,1610612759,SAS,San Antonio,Rudy Gay,,15:06,2.0,6.0,0.33299999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,-11.0
21900832,201158,,1610612759,SAS,San Antonio,Marco Belinelli,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21900832,1629640,,1610612759,SAS,San Antonio,Keldon Johnson,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21900832,1629002,,1610612759,SAS,San Antonio,Chimezie Metu,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21900805,1629022,F,1610612759,SAS,San Antonio,Lonnie Walker IV,,24:48,2.0,5.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,0.0,3.0,0.0,0.0,3.0,6.0,-5.0
21900805,200746,F,1610612759,SAS,San Antonio,LaMarcus Aldridge,,38:38,9.0,20.0,0.45,0.0,3.0,0.0,7.0,8.0,0.875,3.0,11.0,14.0,3.0,1.0,1.0,2.0,2.0,25.0,9.0
21900805,1626168,C,1610612759,SAS,San Antonio,Trey Lyles,,30:46,3.0,8.0,0.375,0.0,2.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,1.0,1.0,4.0,1.0,4.0,8.0,-2.0
21900805,1627749,G,1610612759,SAS,San Antonio,Dejounte Murray,,26:31,9.0,12.0,0.75,1.0,1.0,1.0,6.0,6.0,1.0,1.0,8.0,9.0,3.0,1.0,0.0,1.0,2.0,25.0,-2.0
21900805,1627854,G,1610612759,SAS,San Antonio,Bryn Forbes,,21:21,3.0,9.0,0.33299999999999996,2.0,5.0,0.4,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,4.0,8.0,-2.0
