,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,isSASWin
13,2020-02-29,21900893,Final,1610612759,1610612753,2019,1610612759,114.0,0.524,0.75,0.452,28.0,31.0,1610612753,113.0,0.488,0.696,0.405,28.0,41.0,1,1
35,2020-02-26,21900869,Final,1610612759,1610612742,2019,1610612759,103.0,0.424,0.737,0.33299999999999996,22.0,55.0,1610612742,109.0,0.419,0.667,0.37799999999999995,25.0,43.0,0,0
57,2020-02-23,21900846,Final,1610612760,1610612759,2019,1610612760,131.0,0.575,0.875,0.455,28.0,54.0,1610612759,103.0,0.369,0.8420000000000001,0.289,27.0,43.0,1,0
73,2020-02-21,21900832,Final,1610612762,1610612759,2019,1610612762,104.0,0.42700000000000005,0.846,0.364,25.0,47.0,1610612759,113.0,0.44,0.885,0.5,22.0,48.0,0,1
98,2020-02-11,21900805,Final,1610612760,1610612759,2019,1610612760,106.0,0.45899999999999996,0.81,0.355,19.0,35.0,1610612759,114.0,0.488,0.9259999999999999,0.28,20.0,46.0,0,1
106,2020-02-10,21900799,Final,1610612743,1610612759,2019,1610612743,127.0,0.563,0.826,0.514,34.0,37.0,1610612759,120.0,0.48200000000000004,0.88,0.5,33.0,36.0,1,0
124,2020-02-08,21900785,Final,1610612758,1610612759,2019,1610612758,122.0,0.523,0.65,0.5429999999999999,25.0,39.0,1610612759,102.0,0.506,0.722,0.292,23.0,41.0,1,0
136,2020-02-06,21900767,Final,1610612757,1610612759,2019,1610612757,125.0,0.5329999999999999,0.75,0.486,28.0,50.0,1610612759,117.0,0.446,0.893,0.35700000000000004,25.0,39.0,1,0
150,2020-02-04,21900754,Final,1610612747,1610612759,2019,1610612747,129.0,0.588,0.68,0.429,28.0,58.0,1610612759,102.0,0.44,0.6,0.48100000000000004,21.0,28.0,1,0
160,2020-02-03,21900750,Final,1610612746,1610612759,2019,1610612746,108.0,0.464,0.792,0.407,28.0,51.0,1610612759,105.0,0.421,0.813,0.324,21.0,46.0,1,0
172,2020-02-01,21900734,Final,1610612759,1610612766,2019,1610612759,114.0,0.517,0.667,0.35700000000000004,27.0,44.0,1610612766,90.0,0.422,0.833,0.278,29.0,37.0,1,1
191,2020-01-29,21900711,Final,1610612759,1610612762,2019,1610612759,127.0,0.561,0.9,0.258,23.0,35.0,1610612762,120.0,0.44,0.696,0.368,18.0,43.0,1,1
204,2020-01-27,21900695,Final,1610612741,1610612759,2019,1610612741,110.0,0.452,0.8,0.37799999999999995,28.0,50.0,1610612759,109.0,0.46299999999999997,0.6759999999999999,0.4,21.0,47.0,1,0
209,2020-01-26,21900686,Final,1610612759,1610612761,2019,1610612759,106.0,0.415,0.917,0.4320000000000001,27.0,48.0,1610612761,110.0,0.414,0.8,0.32,31.0,50.0,0,0
