,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,isSASWin
17623,2018-04-24,41700155,Final,1610612744,1610612759,2017,1610612744,99.0,0.446,0.8,0.185,25.0,47.0,1610612759,91.0,0.3720000000000001,0.909,0.233,21.0,48.0,1,0
17627,2018-04-22,41700154,Final,1610612759,1610612744,2017,1610612759,103.0,0.457,0.737,0.536,20.0,34.0,1610612744,90.0,0.37799999999999995,0.882,0.25,19.0,61.0,1,1
17639,2018-04-19,41700153,Final,1610612759,1610612744,2017,1610612759,97.0,0.425,0.8,0.212,19.0,41.0,1610612744,110.0,0.512,0.889,0.313,26.0,39.0,0,0
17647,2018-04-16,41700152,Final,1610612744,1610612759,2017,1610612744,116.0,0.526,0.95,0.484,32.0,39.0,1610612759,101.0,0.41200000000000003,0.9,0.14300000000000002,16.0,35.0,1,0
17652,2018-04-14,41700151,Final,1610612744,1610612759,2017,1610612744,113.0,0.5429999999999999,0.682,0.455,32.0,51.0,1610612759,92.0,0.4,0.792,0.409,19.0,30.0,1,0
17663,2018-04-11,21701226,Final,1610612740,1610612759,2017,1610612740,122.0,0.591,0.684,0.263,30.0,51.0,1610612759,98.0,0.402,0.8420000000000001,0.33299999999999996,22.0,38.0,1,0
17680,2018-04-09,21701210,Final,1610612759,1610612758,2017,1610612759,98.0,0.415,0.828,0.222,18.0,45.0,1610612758,85.0,0.40700000000000003,0.647,0.444,16.0,45.0,1,1
17695,2018-04-07,21701196,Final,1610612759,1610612757,2017,1610612759,116.0,0.56,0.7140000000000001,0.33299999999999996,21.0,36.0,1610612757,105.0,0.47700000000000004,0.909,0.39299999999999996,18.0,40.0,1,1
17717,2018-04-04,21701174,Final,1610612747,1610612759,2017,1610612747,122.0,0.547,0.833,0.542,32.0,44.0,1610612759,112.0,0.433,0.7040000000000001,0.391,25.0,46.0,1,0
17730,2018-04-03,21701168,Final,1610612746,1610612759,2017,1610612746,113.0,0.451,0.7909999999999999,0.313,21.0,47.0,1610612759,110.0,0.44299999999999995,0.857,0.33299999999999996,24.0,39.0,1,0
17733,2018-04-01,21701145,Final,1610612759,1610612745,2017,1610612759,100.0,0.494,0.667,0.353,19.0,48.0,1610612745,83.0,0.33799999999999997,0.828,0.226,12.0,42.0,1,1
17760,2018-03-29,21701126,Final,1610612759,1610612760,2017,1610612759,103.0,0.42,0.733,0.419,22.0,48.0,1610612760,99.0,0.435,0.667,0.3670000000000001,19.0,43.0,1,1
17771,2018-03-27,21701108,Final,1610612764,1610612759,2017,1610612764,116.0,0.541,0.778,0.41700000000000004,33.0,50.0,1610612759,106.0,0.44799999999999995,0.545,0.4,29.0,37.0,1,0
17785,2018-03-25,21701095,Final,1610612749,1610612759,2017,1610612749,106.0,0.488,0.722,0.33299999999999996,27.0,37.0,1610612759,103.0,0.446,0.81,0.235,16.0,53.0,1,0
17806,2018-03-23,21701085,Final,1610612759,1610612762,2017,1610612759,124.0,0.511,0.852,0.41200000000000003,21.0,49.0,1610612762,120.0,0.489,0.7929999999999999,0.39299999999999996,24.0,34.0,1,1
17822,2018-03-21,21701071,Final,1610612759,1610612764,2017,1610612759,98.0,0.494,0.722,0.304,21.0,42.0,1610612764,90.0,0.42200000000000004,0.75,0.32,27.0,35.0,1,1
17836,2018-03-19,21701056,Final,1610612759,1610612744,2017,1610612759,89.0,0.402,0.7140000000000001,0.348,21.0,48.0,1610612744,75.0,0.405,0.75,0.158,17.0,36.0,1,1
17849,2018-03-17,21701042,Final,1610612759,1610612750,2017,1610612759,117.0,0.51,0.929,0.231,32.0,41.0,1610612750,101.0,0.48100000000000004,0.8,0.583,22.0,34.0,1,1
17864,2018-03-15,21701025,Final,1610612759,1610612740,2017,1610612759,98.0,0.374,0.895,0.26899999999999996,16.0,52.0,1610612740,93.0,0.4,0.938,0.375,18.0,53.0,1,1
17879,2018-03-13,21701012,Final,1610612759,1610612753,2017,1610612759,108.0,0.47600000000000003,0.826,0.474,24.0,48.0,1610612753,72.0,0.341,1.0,0.304,16.0,41.0,1,1
17883,2018-03-12,21701001,Final,1610612745,1610612759,2017,1610612745,109.0,0.488,0.7829999999999999,0.295,24.0,50.0,1610612759,93.0,0.40700000000000003,0.696,0.39299999999999996,20.0,36.0,1,0
17899,2018-03-10,21700990,Final,1610612760,1610612759,2017,1610612760,104.0,0.45899999999999996,0.667,0.35700000000000004,24.0,49.0,1610612759,94.0,0.465,0.5710000000000001,0.5,26.0,43.0,1,0
17915,2018-03-08,21700976,Final,1610612744,1610612759,2017,1610612744,110.0,0.4320000000000001,0.87,0.267,30.0,49.0,1610612759,107.0,0.45299999999999996,0.833,0.273,29.0,45.0,1,0
17935,2018-03-05,21700954,Final,1610612759,1610612763,2017,1610612759,100.0,0.461,0.774,0.273,18.0,36.0,1610612763,98.0,0.525,0.667,0.364,26.0,42.0,1,1
17949,2018-03-03,21700940,Final,1610612759,1610612747,2017,1610612759,112.0,0.449,0.85,0.233,28.0,50.0,1610612747,116.0,0.435,0.778,0.441,26.0,46.0,0,0
17973,2018-02-28,21700920,Final,1610612759,1610612740,2017,1610612759,116.0,0.485,0.7859999999999999,0.34600000000000003,23.0,47.0,1610612740,121.0,0.505,0.8,0.34600000000000003,26.0,43.0,0,0
17993,2018-02-25,21700894,Final,1610612739,1610612759,2017,1610612739,94.0,0.418,0.7140000000000001,0.235,18.0,47.0,1610612759,110.0,0.442,0.7809999999999999,0.474,22.0,44.0,0,1
18011,2018-02-23,21700880,Final,1610612743,1610612759,2017,1610612743,122.0,0.495,0.737,0.375,33.0,52.0,1610612759,119.0,0.506,0.718,0.313,28.0,38.0,1,0
18040,2018-02-13,21700852,Final,1610612743,1610612759,2017,1610612743,117.0,0.495,0.833,0.313,29.0,35.0,1610612759,109.0,0.537,0.682,0.273,24.0,42.0,1,0
18045,2018-02-12,21700845,Final,1610612762,1610612759,2017,1610612762,101.0,0.41700000000000004,0.667,0.45799999999999996,15.0,43.0,1610612759,99.0,0.447,0.68,0.24,23.0,44.0,1,0
18060,2018-02-10,21700831,Final,1610612744,1610612759,2017,1610612744,122.0,0.565,0.9329999999999999,0.444,35.0,44.0,1610612759,105.0,0.457,0.737,0.185,30.0,34.0,1,0
18081,2018-02-07,21700810,Final,1610612756,1610612759,2017,1610612756,81.0,0.34,0.667,0.094,15.0,44.0,1610612759,129.0,0.495,0.778,0.5,26.0,62.0,0,1
18109,2018-02-03,21700781,Final,1610612759,1610612762,2017,1610612759,111.0,0.484,0.722,0.385,25.0,36.0,1610612762,120.0,0.565,0.833,0.522,26.0,37.0,0,0
18124,2018-02-01,21700764,Final,1610612759,1610612745,2017,1610612759,91.0,0.42200000000000004,0.882,0.25,21.0,46.0,1610612745,102.0,0.446,0.8240000000000001,0.33299999999999996,20.0,38.0,0,0
18140,2018-01-30,21700750,Final,1610612759,1610612743,2017,1610612759,106.0,0.5,1.0,0.375,33.0,43.0,1610612743,104.0,0.465,1.0,0.435,22.0,38.0,1,1
18155,2018-01-28,21700737,Final,1610612759,1610612758,2017,1610612759,113.0,0.5,0.706,0.44,33.0,52.0,1610612758,98.0,0.4270000000000001,0.909,0.529,21.0,34.0,1,1
18171,2018-01-26,21700722,Final,1610612759,1610612755,2017,1610612759,78.0,0.4,0.833,0.125,20.0,36.0,1610612755,97.0,0.48100000000000004,0.667,0.429,23.0,50.0,0,0
18183,2018-01-24,21700707,Final,1610612763,1610612759,2017,1610612763,85.0,0.434,0.7859999999999999,0.111,19.0,41.0,1610612759,108.0,0.46299999999999997,0.88,0.41700000000000004,29.0,45.0,0,1
18188,2018-01-23,21700698,Final,1610612759,1610612739,2017,1610612759,114.0,0.5,0.75,0.28600000000000003,23.0,45.0,1610612739,102.0,0.486,0.8390000000000001,0.28600000000000003,19.0,41.0,1,1
