,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,isSASWin
16237,2019-04-27,41800157,Final,1610612743,1610612759,2018,1610612743,90.0,0.39799999999999996,0.7829999999999999,0.1,21.0,53.0,1610612759,86.0,0.365,0.9,0.261,19.0,45.0,1,0
16239,2019-04-25,41800156,Final,1610612759,1610612743,2018,1610612759,120.0,0.5710000000000001,0.8240000000000001,0.41700000000000004,25.0,41.0,1610612743,103.0,0.45799999999999996,0.75,0.25,26.0,37.0,1,1
16244,2019-04-23,41800155,Final,1610612743,1610612759,2018,1610612743,108.0,0.5,0.8,0.424,25.0,49.0,1610612759,90.0,0.41100000000000003,0.6,0.292,17.0,42.0,1,0
16253,2019-04-20,41800154,Final,1610612759,1610612743,2018,1610612759,103.0,0.46799999999999997,0.75,0.294,23.0,46.0,1610612743,117.0,0.449,0.917,0.484,25.0,45.0,0,0
16260,2019-04-18,41800153,Final,1610612759,1610612743,2018,1610612759,118.0,0.494,0.7190000000000001,0.389,24.0,45.0,1610612743,108.0,0.519,0.529,0.517,31.0,37.0,1,1
16266,2019-04-16,41800152,Final,1610612743,1610612759,2018,1610612743,114.0,0.483,0.6920000000000001,0.41700000000000004,29.0,41.0,1610612759,105.0,0.45299999999999996,0.88,0.278,20.0,50.0,1,0
16277,2019-04-13,41800151,Final,1610612743,1610612759,2018,1610612743,96.0,0.42,0.667,0.214,25.0,46.0,1610612759,101.0,0.48200000000000004,0.7,0.467,20.0,47.0,0,1
16285,2019-04-10,21801227,Final,1610612759,1610612742,2018,1610612759,105.0,0.466,0.833,0.33299999999999996,22.0,53.0,1610612742,94.0,0.40700000000000003,0.75,0.297,27.0,42.0,1,1
16301,2019-04-07,21801196,Final,1610612739,1610612759,2018,1610612739,90.0,0.392,0.741,0.276,16.0,35.0,1610612759,112.0,0.524,0.773,0.409,27.0,49.0,0,1
16318,2019-04-05,21801182,Final,1610612764,1610612759,2018,1610612764,112.0,0.47700000000000004,0.8640000000000001,0.281,22.0,34.0,1610612759,129.0,0.56,0.85,0.4,34.0,42.0,0,1
16340,2019-04-03,21801173,Final,1610612743,1610612759,2018,1610612743,113.0,0.54,0.583,0.364,41.0,47.0,1610612759,85.0,0.38299999999999995,0.72,0.185,15.0,38.0,1,0
16345,2019-04-02,21801162,Final,1610612759,1610612737,2018,1610612759,117.0,0.525,0.8640000000000001,0.467,23.0,45.0,1610612737,111.0,0.457,0.65,0.353,26.0,43.0,1,1
16360,2019-03-31,21801149,Final,1610612759,1610612758,2018,1610612759,106.0,0.46799999999999997,0.7140000000000001,0.29600000000000004,24.0,42.0,1610612758,113.0,0.48100000000000004,0.857,0.44,20.0,42.0,0,0
16386,2019-03-28,21801129,Final,1610612759,1610612739,2018,1610612759,116.0,0.529,0.706,0.424,27.0,33.0,1610612739,110.0,0.489,0.8,0.414,18.0,49.0,1,1
16392,2019-03-26,21801107,Final,1610612766,1610612759,2018,1610612766,125.0,0.46,0.7140000000000001,0.31,30.0,45.0,1610612759,116.0,0.40700000000000003,0.7140000000000001,0.33299999999999996,24.0,60.0,1,0
16411,2019-03-24,21801100,Final,1610612738,1610612759,2018,1610612738,96.0,0.40399999999999997,0.813,0.2,23.0,45.0,1610612759,115.0,0.51,0.875,0.33299999999999996,32.0,51.0,0,1
16426,2019-03-22,21801084,Final,1610612745,1610612759,2018,1610612745,111.0,0.419,0.7809999999999999,0.37799999999999995,12.0,48.0,1610612759,105.0,0.456,0.941,0.292,27.0,48.0,1,0
16441,2019-03-20,21801071,Final,1610612759,1610612748,2018,1610612759,105.0,0.4320000000000001,0.7140000000000001,0.41200000000000003,30.0,46.0,1610612748,110.0,0.465,0.778,0.457,23.0,48.0,0,0
16455,2019-03-18,21801055,Final,1610612759,1610612744,2018,1610612759,111.0,0.466,0.8640000000000001,0.385,20.0,46.0,1610612744,105.0,0.466,0.833,0.33299999999999996,27.0,43.0,1,1
16472,2019-03-16,21801039,Final,1610612759,1610612757,2018,1610612759,108.0,0.46799999999999997,0.867,0.47100000000000003,17.0,44.0,1610612757,103.0,0.41600000000000004,0.857,0.25,23.0,51.0,1,1
16481,2019-03-15,21801032,Final,1610612759,1610612752,2018,1610612759,109.0,0.534,0.8,0.33299999999999996,31.0,45.0,1610612752,83.0,0.40700000000000003,0.556,0.4,21.0,41.0,1,1
16499,2019-03-12,21801011,Final,1610612742,1610612759,2018,1610612742,105.0,0.46299999999999997,0.5770000000000001,0.359,22.0,38.0,1610612759,112.0,0.524,1.0,0.364,26.0,38.0,0,1
16515,2019-03-10,21800999,Final,1610612759,1610612749,2018,1610612759,121.0,0.49,0.733,0.414,24.0,46.0,1610612749,114.0,0.47100000000000003,0.72,0.389,22.0,45.0,1,1
16537,2019-03-06,21800968,Final,1610612737,1610612759,2018,1610612737,104.0,0.391,0.792,0.302,21.0,47.0,1610612759,111.0,0.494,0.722,0.303,27.0,49.0,0,1
