,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,isSASWin
18963,2017-05-22,41600314,Final,1610612759,1610612744,2016,1610612759,115.0,0.418,0.7809999999999999,0.32,33.0,42.0,1610612744,129.0,0.5579999999999999,0.76,0.359,30.0,53.0,0,0
18965,2017-05-20,41600313,Final,1610612759,1610612744,2016,1610612759,108.0,0.473,0.6,0.23800000000000002,22.0,46.0,1610612744,120.0,0.5479999999999999,0.773,0.40700000000000003,23.0,42.0,0,0
18968,2017-05-16,41600312,Final,1610612744,1610612759,2016,1610612744,136.0,0.562,0.9470000000000001,0.486,39.0,40.0,1610612759,100.0,0.37,0.857,0.348,21.0,49.0,1,0
18970,2017-05-14,41600311,Final,1610612744,1610612759,2016,1610612744,113.0,0.48100000000000004,0.727,0.3670000000000001,22.0,43.0,1610612759,111.0,0.47600000000000003,0.857,0.318,19.0,37.0,1,0
18972,2017-05-11,41600236,Final,1610612745,1610612759,2016,1610612745,75.0,0.28600000000000003,0.72,0.325,14.0,37.0,1610612759,114.0,0.531,0.5379999999999999,0.22699999999999998,32.0,60.0,0,1
18974,2017-05-09,41600235,Final,1610612759,1610612745,2016,1610612759,110.0,0.408,0.652,0.33299999999999996,24.0,52.0,1610612745,107.0,0.442,0.7140000000000001,0.33299999999999996,21.0,47.0,1,1
18978,2017-05-07,41600234,Final,1610612745,1610612759,2016,1610612745,125.0,0.526,0.6,0.442,28.0,41.0,1610612759,104.0,0.494,0.5,0.304,23.0,43.0,1,0
18981,2017-05-05,41600233,Final,1610612745,1610612759,2016,1610612745,92.0,0.364,0.889,0.308,17.0,39.0,1610612759,103.0,0.45299999999999996,0.8,0.36,23.0,49.0,0,1
18985,2017-05-03,41600232,Final,1610612759,1610612745,2016,1610612759,121.0,0.539,0.889,0.375,27.0,48.0,1610612745,96.0,0.446,0.733,0.324,22.0,32.0,1,1
18989,2017-05-01,41600231,Final,1610612759,1610612745,2016,1610612759,99.0,0.369,0.778,0.31,19.0,45.0,1610612745,126.0,0.46,0.889,0.44,30.0,49.0,0,0
18996,2017-04-27,41600156,Final,1610612763,1610612759,2016,1610612763,96.0,0.451,0.833,0.444,15.0,28.0,1610612759,103.0,0.48100000000000004,0.88,0.35,13.0,46.0,0,1
19000,2017-04-25,41600155,Final,1610612759,1610612763,2016,1610612759,116.0,0.525,0.818,0.5,23.0,34.0,1610612763,103.0,0.514,0.909,0.409,22.0,31.0,1,1
19011,2017-04-22,41600154,Final,1610612763,1610612759,2016,1610612763,110.0,0.46299999999999997,0.917,0.444,19.0,51.0,1610612759,108.0,0.423,1.0,0.3,16.0,37.0,1,0
19018,2017-04-20,41600153,Final,1610612763,1610612759,2016,1610612763,105.0,0.506,0.9,0.409,21.0,33.0,1610612759,94.0,0.47200000000000003,0.5710000000000001,0.41700000000000004,16.0,42.0,1,0
19026,2017-04-17,41600152,Final,1610612759,1610612763,2016,1610612759,96.0,0.45899999999999996,0.9690000000000001,0.391,14.0,39.0,1610612763,82.0,0.37799999999999995,0.867,0.259,19.0,35.0,1,1
19033,2017-04-15,41600151,Final,1610612759,1610612763,2016,1610612759,111.0,0.539,0.76,0.526,16.0,42.0,1610612763,82.0,0.392,0.765,0.35,17.0,35.0,1,1
19045,2017-04-12,21601227,Final,1610612762,1610612759,2016,1610612762,101.0,0.506,0.65,0.385,24.0,36.0,1610612759,97.0,0.45299999999999996,0.846,0.381,16.0,42.0,1,0
19060,2017-04-10,21601209,Final,1610612757,1610612759,2016,1610612757,99.0,0.41600000000000004,0.867,0.444,18.0,42.0,1610612759,98.0,0.45799999999999996,0.7,0.381,17.0,47.0,1,0
19075,2017-04-08,21601193,Final,1610612759,1610612746,2016,1610612759,87.0,0.425,0.7859999999999999,0.364,20.0,40.0,1610612746,98.0,0.5,0.5710000000000001,0.273,21.0,45.0,0,0
19082,2017-04-07,21601183,Final,1610612742,1610612759,2016,1610612742,89.0,0.4320000000000001,0.625,0.308,26.0,44.0,1610612759,102.0,0.41700000000000004,0.591,0.321,26.0,58.0,0,1
19098,2017-04-05,21601170,Final,1610612759,1610612747,2016,1610612759,95.0,0.43799999999999994,0.667,0.371,28.0,37.0,1610612747,102.0,0.488,0.7859999999999999,0.5,23.0,47.0,0,0
19108,2017-04-04,21601161,Final,1610612759,1610612763,2016,1610612759,95.0,0.43799999999999994,0.778,0.524,22.0,46.0,1610612763,89.0,0.39299999999999996,0.611,0.32,26.0,50.0,1,1
19117,2017-04-02,21601151,Final,1610612759,1610612762,2016,1610612759,109.0,0.519,0.8640000000000001,0.526,26.0,42.0,1610612762,103.0,0.483,0.615,0.375,24.0,36.0,1,1
19138,2017-03-31,21601135,Final,1610612760,1610612759,2016,1610612760,95.0,0.40700000000000003,0.852,0.28600000000000003,21.0,46.0,1610612759,100.0,0.435,0.63,0.33299999999999996,23.0,41.0,0,1
19153,2017-03-29,21601118,Final,1610612759,1610612744,2016,1610612759,98.0,0.41,0.8079999999999999,0.375,20.0,42.0,1610612744,110.0,0.506,1.0,0.5,31.0,35.0,0,0
19166,2017-03-27,21601099,Final,1610612759,1610612739,2016,1610612759,103.0,0.47700000000000004,0.8240000000000001,0.26899999999999996,24.0,52.0,1610612739,74.0,0.373,0.615,0.154,20.0,40.0,1,1
19183,2017-03-25,21601085,Final,1610612759,1610612752,2016,1610612759,106.0,0.455,0.75,0.4,28.0,50.0,1610612752,98.0,0.47100000000000003,0.867,0.3,24.0,45.0,1,1
19198,2017-03-23,21601070,Final,1610612759,1610612763,2016,1610612759,97.0,0.48100000000000004,0.652,0.308,26.0,35.0,1610612763,90.0,0.436,0.8,0.345,18.0,42.0,1,1
