,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,isSASWin
21817,2015-05-02,41400167,Final,1610612746,1610612759,2014,1610612746,111.0,0.526,0.68,0.519,26.0,43.0,1610612759,109.0,0.483,0.65,0.4,26.0,46.0,1,0
21820,2015-04-30,41400166,Final,1610612759,1610612746,2014,1610612759,96.0,0.434,0.5710000000000001,0.429,26.0,44.0,1610612746,102.0,0.475,0.71,0.222,22.0,43.0,0,0
21824,2015-04-28,41400165,Final,1610612746,1610612759,2014,1610612746,107.0,0.465,0.619,0.071,22.0,46.0,1610612759,111.0,0.444,0.757,0.478,21.0,47.0,0,1
21829,2015-04-26,41400164,Final,1610612759,1610612746,2014,1610612759,105.0,0.44,0.7140000000000001,0.24,20.0,44.0,1610612746,114.0,0.536,0.731,0.278,24.0,43.0,0,0
21838,2015-04-24,41400163,Final,1610612759,1610612746,2014,1610612759,100.0,0.526,0.769,0.41700000000000004,25.0,47.0,1610612746,73.0,0.341,0.75,0.261,14.0,38.0,1,1
21844,2015-04-22,41400162,Final,1610612746,1610612759,2014,1610612746,107.0,0.424,0.541,0.31,23.0,55.0,1610612759,111.0,0.462,0.731,0.32,26.0,48.0,0,1
21853,2015-04-19,41400161,Final,1610612746,1610612759,2014,1610612746,107.0,0.513,0.607,0.556,16.0,46.0,1610612759,92.0,0.366,0.5379999999999999,0.303,25.0,49.0,1,0
21864,2015-04-15,21401223,Final,1610612740,1610612759,2014,1610612740,108.0,0.518,0.68,0.5,23.0,35.0,1610612759,103.0,0.57,0.769,0.3,33.0,36.0,1,0
21894,2015-04-12,21401200,Final,1610612759,1610612756,2014,1610612759,107.0,0.507,0.853,0.42100000000000004,22.0,43.0,1610612756,91.0,0.41200000000000003,0.7390000000000001,0.25,17.0,41.0,1,1
21908,2015-04-10,21401181,Final,1610612745,1610612759,2014,1610612745,103.0,0.47,0.604,0.429,19.0,39.0,1610612759,104.0,0.48200000000000004,0.75,0.235,23.0,40.0,0,1
21924,2015-04-08,21401168,Final,1610612759,1610612745,2014,1610612759,110.0,0.505,0.778,0.33299999999999996,21.0,47.0,1610612745,98.0,0.46399999999999997,0.625,0.4,25.0,39.0,1,1
21932,2015-04-07,21401157,Final,1610612760,1610612759,2014,1610612760,88.0,0.405,0.536,0.263,14.0,39.0,1610612759,113.0,0.528,0.6920000000000001,0.41700000000000004,27.0,46.0,0,1
21939,2015-04-05,21401150,Final,1610612759,1610612744,2014,1610612759,107.0,0.53,0.8,0.33299999999999996,27.0,47.0,1610612744,92.0,0.429,0.5,0.321,25.0,39.0,1,1
21960,2015-04-03,21401134,Final,1610612759,1610612743,2014,1610612759,123.0,0.5529999999999999,0.882,0.41200000000000003,33.0,45.0,1610612743,93.0,0.46,0.636,0.353,17.0,34.0,1,1
21967,2015-04-01,21401113,Final,1610612753,1610612759,2014,1610612753,91.0,0.419,0.889,0.294,24.0,50.0,1610612759,103.0,0.40700000000000003,0.87,0.44799999999999995,20.0,49.0,0,1
21980,2015-03-31,21401110,Final,1610612748,1610612759,2014,1610612748,81.0,0.405,1.0,0.33299999999999996,11.0,33.0,1610612759,95.0,0.5,0.765,0.444,21.0,38.0,0,1
21995,2015-03-29,21401098,Final,1610612759,1610612763,2014,1610612759,103.0,0.506,0.833,0.235,25.0,48.0,1610612763,89.0,0.439,0.917,0.429,22.0,34.0,1,1
22013,2015-03-27,21401084,Final,1610612759,1610612742,2014,1610612759,94.0,0.44,0.7859999999999999,0.34600000000000003,28.0,50.0,1610612742,76.0,0.37799999999999995,0.667,0.222,15.0,47.0,1,1
22028,2015-03-25,21401071,Final,1610612759,1610612760,2014,1610612759,130.0,0.58,0.789,0.619,28.0,49.0,1610612760,91.0,0.4,0.929,0.33299999999999996,16.0,37.0,1,1
22033,2015-03-24,21401057,Final,1610612742,1610612759,2014,1610612742,101.0,0.483,0.769,0.318,21.0,49.0,1610612759,94.0,0.424,0.778,0.28600000000000003,16.0,43.0,1,0
22044,2015-03-22,21401039,Final,1610612737,1610612759,2014,1610612737,95.0,0.475,1.0,0.5,25.0,29.0,1610612759,114.0,0.561,0.882,0.41200000000000003,30.0,43.0,0,1
